김기연 (Ki-Yeon Kim),12549,올시즌,2024,두산,26,C,0.22,0.27,34,100,100,91,13,25,5,0,2,36,9,0,2,7,2,0,17,3,0,0,0.275,0.340,0.396,0.736,-0.003,95.5,0.49
도태훈 (Tae-Hun Do),12560,올시즌,2024,NC,30,2B,0.13,0.19,40,75,73,57,6,12,3,0,0,15,6,0,0,11,4,0,13,2,2,1,0.211,0.370,0.263,0.633,-0.016,86.2,0.32
이성규 (Sung-Gyu Lee),12562,올시즌,2024,삼성,30,RF,0.96,0.68,60,156,152,129,22,32,5,0,10,67,27,6,0,12,9,0,43,2,4,2,0.248,0.349,0.519,0.868,0.016,109.7,1.63
장진혁 (Jin-Hyuk Jang),12583,올시즌,2024,한화,30,CF,0.03,-0.17,22,66,65,60,14,13,2,0,2,21,10,5,1,4,1,0,19,1,1,0,0.217,0.277,0.350,0.627,-0.044,65.2,-0.14
김태연 (Tae-Yeon Kim),12585,올시즌,2024,한화,26,1B,1.13,-0.37,49,175,174,149,21,46,8,0,6,72,28,2,2,21,2,0,29,2,1,2,0.309,0.397,0.483,0.880,0.032,122.5,0.76
박상언 (Sang-Un Park),12587,올시즌,2024,한화,26,C,0.39,0.18,25,50,50,40,4,12,3,0,0,15,4,1,0,9,1,0,11,0,0,0,0.300,0.440,0.375,0.815,0.035,124.6,0.57
김인환 (In-Hwan Kim),12589,올시즌,2024,한화,29,1B,-0.12,-0.08,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.306,-134.0,-0.20
홍성호 (Sung-Ho Hong),12606,올시즌,2024,두산,26,1B,0.10,0.06,13,13,13,12,0,4,2,0,0,6,1,1,0,1,0,0,5,0,0,0,0.333,0.385,0.500,0.885,0.051,137.0,0.16
안상현 (Sang-Hyun Ahn),12613,올시즌,2024,SSG,26,2B,-0.52,0.10,28,68,67,63,2,11,1,0,0,12,2,1,1,4,0,0,14,0,1,0,0.175,0.224,0.190,0.414,-0.123,6.3,-0.42
김찬형 (Chan-Hyung Kim),12622,올시즌,2024,,26,2B,-0.28,-0.01,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.000,0.000,0.000,0.000,-0.315,-141.4,-0.29
전준호 (Jun-Ho Jeon),12864,올시즌,2024,LG,25,C,-0.03,-0.01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.316,-142.0,-0.03
박정우 (Jeong-Woo Park),12869,올시즌,2024,KIA,25,CF,-0.25,0.12,13,12,12,11,1,2,0,0,0,2,0,0,0,1,0,0,2,2,0,0,0.182,0.250,0.182,0.432,-0.123,4.4,-0.14
이유찬 (Yu-Chan Lee),12894,올시즌,2024,두산,25,3B,0.61,0.56,39,65,65,57,15,20,3,0,1,26,7,5,4,7,1,0,10,2,0,0,0.351,0.431,0.456,0.887,0.070,151.3,1.18
김수윤 (Su-Yun Kim),12903,올시즌,2024,NC,25,1B,0.03,0.01,5,7,7,6,0,2,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0.333,0.429,0.333,0.762,0.019,112.8,0.03
김혜성 (Hye-Sung Kim),12905,올시즌,2024,키움,24,2B,2.21,1.25,53,239,238,214,39,69,8,1,8,103,34,17,2,19,4,1,22,2,0,2,0.322,0.385,0.481,0.866,0.038,127.1,3.46
이정훈 (Jeong-Hun Lee),12916,올시즌,2024,롯데,29,DH,0.26,-0.18,18,52,52,43,5,12,3,0,0,15,11,0,0,8,0,0,12,3,0,1,0.279,0.385,0.349,0.734,0.011,106.1,0.08
박성한 (Sung-Han Park),12922,올시즌,2024,SSG,25,SS,0.59,0.52,62,271,268,237,32,65,11,0,3,85,26,7,2,30,1,1,34,5,2,1,0.274,0.357,0.359,0.716,-0.015,87.0,1.12
김민수 (Min-Su Kim),12931,올시즌,2024,LG,25,3B,0.01,-0.05,5,5,5,4,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,-0.017,84.9,-0.04
김성윤 (Seong-Yun Kim),12936,올시즌,2024,삼성,24,CF,-0.21,0.00,28,77,74,63,13,14,2,0,0,16,6,3,1,8,1,0,15,1,3,2,0.222,0.311,0.254,0.565,-0.066,49.8,-0.21
홍현빈 (Hyun-Bin Hong),12941,올시즌,2024,KT,26,CF,-0.01,-0.13,4,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,-0.092,28.0,-0.14
조용호 (Yong-Ho Cho),12943,올시즌,2024,KT,34,RF,-0.32,-0.39,50,142,139,129,15,31,4,0,0,35,10,5,0,10,0,0,22,5,3,0,0.240,0.295,0.271,0.566,-0.068,47.8,-0.71
김민혁 (Min-Hyeok Kim),12970,올시즌,2024,두산,27,DH,0.20,0.02,5,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.200,0.500,0.800,1.300,0.219,264.2,0.23
안주형 (Joo-Hyung An),12988,올시즌,2024,삼성,30,2B,0.25,-0.39,16,50,48,45,5,13,2,0,0,15,3,2,1,3,0,0,8,1,2,0,0.289,0.333,0.333,0.666,-0.007,93.2,-0.14
로하스 (Mel Rojas Jr),12995,올시즌,2024,KT,33,LF,3.70,-0.02,63,293,291,243,50,74,18,0,16,140,51,0,1,44,5,3,56,5,0,1,0.305,0.420,0.576,0.996,0.087,163.5,3.69
